Operation,Size,List,ProblemID,LargerOP,Problem,Answer
Subtraction,Lg,2,65,2,11-5=?,6
Subtraction,Lg,2,74,1,11-7=?,4
Subtraction,Lg,2,75,2,12-5=?,7
Subtraction,Lg,2,76,2,13-6=?,7
Subtraction,Lg,2,83,2,11-3=?,8
Subtraction,Lg,2,84,2,12-4=?,8
Subtraction,Lg,2,85,1,13-8=?,5
Subtraction,Lg,2,86,1,14-8=?,6
Subtraction,Lg,2,87,1,15-8=?,7
Subtraction,Lg,2,94,2,13-4=?,9
Subtraction,Lg,2,95,1,14-9=?,5
Subtraction,Lg,2,96,2,15-6=?,9
Subtraction,Lg,2,97,1,16-9=?,7
Subtraction,Lg,2,98,1,17-9=?,8
Subtraction,Sm,2,21,1,3-2=?,1
Subtraction,Sm,2,31,2,4-1=?,3
Subtraction,Sm,2,32,2,5-2=?,3
Subtraction,Sm,2,41,1,5-4=?,1
Subtraction,Sm,2,42,1,6-4=?,2
Subtraction,Sm,2,43,2,7-3=?,4
Subtraction,Sm,2,51,2,6-1=?,5
Subtraction,Sm,2,52,1,7-5=?,2
Subtraction,Sm,2,61,1,7-6=?,1
Subtraction,Sm,2,62,1,8-6=?,2
Subtraction,Sm,2,63,2,9-3=?,6
Subtraction,Sm,2,71,1,8-7=?,1
Subtraction,Sm,2,72,2,9-2=?,7
Subtraction,Sm,2,81,2,9-1=?,8
